Unnamed: 0,item_id
0,FOODS_1_001_CA_1
1,FOODS_1_001_CA_2
2,FOODS_1_001_CA_3
3,FOODS_1_001_CA_4
4,FOODS_1_001_TX_1
5,FOODS_1_001_TX_2
6,FOODS_1_001_TX_3
7,FOODS_1_001_WI_1
8,FOODS_1_001_WI_2
9,FOODS_1_001_WI_3
10,FOODS_1_002_CA_1
11,FOODS_1_002_CA_2
12,FOODS_1_002_CA_3
13,FOODS_1_002_CA_4
14,FOODS_1_002_TX_1
15,FOODS_1_002_TX_2
16,FOODS_1_002_TX_3
17,FOODS_1_002_WI_1
18,FOODS_1_002_WI_2
19,FOODS_1_002_WI_3
20,FOODS_1_003_CA_1
21,FOODS_1_003_CA_2
22,FOODS_1_003_CA_3
23,FOODS_1_003_CA_4
24,FOODS_1_003_TX_1
25,FOODS_1_003_TX_2
26,FOODS_1_003_TX_3
27,FOODS_1_003_WI_1
28,FOODS_1_003_WI_2
29,FOODS_1_003_WI_3
30,FOODS_1_004_CA_1
31,FOODS_1_004_CA_2
32,FOODS_1_004_CA_3
33,FOODS_1_004_CA_4
34,FOODS_1_004_TX_1
35,FOODS_1_004_TX_2
36,FOODS_1_004_TX_3
37,FOODS_1_004_WI_1
38,FOODS_1_004_WI_2
39,FOODS_1_004_WI_3
40,FOODS_1_005_CA_1
41,FOODS_1_005_CA_2
42,FOODS_1_005_CA_3
43,FOODS_1_005_CA_4
44,FOODS_1_005_TX_1
45,FOODS_1_005_TX_2
46,FOODS_1_005_TX_3
47,FOODS_1_005_WI_1
48,FOODS_1_005_WI_2
49,FOODS_1_005_WI_3
50,FOODS_1_006_CA_1
51,FOODS_1_006_CA_2
52,FOODS_1_006_CA_3
53,FOODS_1_006_CA_4
54,FOODS_1_006_TX_1
55,FOODS_1_006_TX_2
56,FOODS_1_006_TX_3
57,FOODS_1_006_WI_1
58,FOODS_1_006_WI_2
59,FOODS_1_006_WI_3
60,FOODS_1_008_CA_1
61,FOODS_1_008_CA_2
62,FOODS_1_008_CA_3
63,FOODS_1_008_CA_4
64,FOODS_1_008_TX_1
65,FOODS_1_008_TX_2
66,FOODS_1_008_TX_3
67,FOODS_1_008_WI_1
68,FOODS_1_008_WI_2
69,FOODS_1_008_WI_3
70,FOODS_1_009_CA_1
71,FOODS_1_009_CA_2
72,FOODS_1_009_CA_3
73,FOODS_1_009_CA_4
74,FOODS_1_009_TX_1
75,FOODS_1_009_TX_2
76,FOODS_1_009_TX_3
77,FOODS_1_009_WI_1
78,FOODS_1_009_WI_2
79,FOODS_1_009_WI_3
80,FOODS_1_010_CA_1
81,FOODS_1_010_CA_2
82,FOODS_1_010_CA_3
83,FOODS_1_010_CA_4
84,FOODS_1_010_TX_1
85,FOODS_1_010_TX_2
86,FOODS_1_010_TX_3
87,FOODS_1_010_WI_1
88,FOODS_1_010_WI_2
89,FOODS_1_010_WI_3
90,FOODS_1_011_CA_1
91,FOODS_1_011_CA_2
92,FOODS_1_011_CA_3
93,FOODS_1_011_CA_4
94,FOODS_1_011_TX_1
95,FOODS_1_011_TX_2
